index;micro;successor_calls;generated;pushed;popped;pruned_post_pop;length;gridcost
52;471.615;610;358;341;215;1;50.75503278668105;57.455844
53;59286.896;73256;31061;30011;23747;918;506.1894716691563;559.13918
54;18241.51;23417;10513;10139;7793;262;250.0709973763022;278.73506
55;60259.599;75146;30814;29745;23981;888;472.6158339986109;524.6417
56;8032.327;10313;4868;4662;3505;106;244.1380438967652;266.02439
57;73008.024;91285;36987;35743;29067;1191;508.068364616783;560.38687
58;171193.95;206983;79600;77138;65467;2789;643.2717627620459;717.74935
59;1077.103;1315;781;740;461;2;97.0444334507994;106.28427
60;112760.87;138305;54349;52556;43340;1747;549.1716514414155;608.45289
61;251924.61;286657;105396;102248;89706;3977;678.7100070891847;760.54834
62;5570.185;7274;3372;3258;2316;59;234.3603820538187;254.91169
63;28672.368;36010;15721;15194;11631;399;388.4548084052913;430.00209
64;14665.929;19461;8532;8220;6124;158;242.6039202312912;263.2254
65;53116.447;65220;28027;27062;21149;749;510.72637078551;565.41125
66;16053.923;20413;9567;9207;6967;235;311.6344954498108;347.9899
67;9961.441;12635;6004;5799;4357;157;248.6419812900815;279.56349
68;22220.069;28266;12309;11865;9252;327;305.8320535202443;341.06097
69;56006.672;69162;29796;28780;22845;808;528.4093184378424;592.89654
70;7625.366;9864;4827;4646;3369;99;224.0349844884724;248.7645
71;44555.272;56206;23321;22487;17911;604;437.4812160409878;469.48023
72;947.719;1183;629;609;409;9;97.20527580987394;109.15433
73;7118.585;9570;4225;4059;3151;105;148.8037359289899;162.95332
74;28806.884;37473;15953;15330;11876;348;335.5841505657784;359.88225
75;77936.061;96750;39213;37834;30905;1189;509.6600819854535;567.47013
76;12669.446;16385;7254;6970;5170;145;293.4439723208233;322.89444
77;87224.575;106992;41745;40395;33601;1436;523.5378881559631;577.14423
78;89181.713;108380;44277;42693;34692;1305;578.1912056196869;643.32294
79;3445.398;4437;2284;2184;1578;47;130.01867389278;144.78175
