exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
188;AStar;3309;3;18;137;92;(39,297);(22,288);20.72792206;20.727921843528748;AR0500SR.map;
189;AStar;2078;17;64;504;363;(42,294);(105,241);84.95331879;84.95331752300262;AR0500SR.map;
190;AStar;2565;40;160;1266;923;(35,317);(179,158);218.64675293;218.64674949645996;AR0500SR.map;
191;AStar;3194;3;17;129;70;(298,74);(298,58);16.0;16.0;AR0500SR.map;
192;AStar;2046;262;887;6145;2623;(127,156);(219,47);256.17871551;254.76449966430664;AR0500SR.map;
193;AStar;1976;8;39;305;164;(237,36);(275,33);39.24264069;39.24264061450958;AR0500SR.map;
194;AStar;2435;2435;4310;31618;11568;(121,216);(221,245);166.82337646;164.23758828639984;AR0500SR.map;
195;AStar;5996;5996;12105;90713;33758;(282,140);(97,190);452.62950897;448.0437180995941;AR0500SR.map;
196;AStar;13612;13612;26953;200884;74707;(9,251);(253,160);496.87214966;492.0437180995941;AR0500SR.map;
197;AStar;5186;5186;11725;88295;34394;(255,138);(17,248);425.54624786;420.96045780181885;AR0500SR.map;
198;AStar;3061;3061;5908;45163;16631;(160,122);(7,276);268.94826813;268.9482651948929;AR0500SR.map;
199;AStar;2430;779;2354;17418;6827;(217,140);(301,56);170.55129852;167.722869515419;AR0500SR.map;
