exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
122;AnyaSearch;2694;152;213;240;442;(221,205);(224,86);221.58073578;209.18711810533472;AR0500SR.map
123;AnyaSearch;3012;47;35;49;83;(58,274);(134,202);105.82337646;104.7533047182259;AR0500SR.map
124;AnyaSearch;1664;548;629;699;1299;(281,192);(11,248);502.70057678;474.76330711784505;AR0500SR.map
125;AnyaSearch;3165;425;477;510;986;(12,240);(292,107);374.94826813;353.0236372733321;AR0500SR.map
126;AnyaSearch;2338;74;78;97;174;(5,250);(179,187);200.92388153;189.07766285347415;AR0500SR.map
127;AnyaSearch;1811;1811;1586;1670;3204;(76,275);(292,152);473.39906158;450.9291937306945;AR0500SR.map
128;AnyaSearch;2145;276;383;430;802;(243,246);(237,3);341.00714264;318.82830501720184;AR0500SR.map
129;AnyaSearch;1772;588;522;574;1086;(17,278);(282,35);405.28636322;386.7783403341895;AR0500SR.map
130;AnyaSearch;1751;525;535;599;1111;(231,15);(7,274);396.8305191;375.5659037445698;AR0500SR.map
131;AnyaSearch;2403;829;584;651;1214;(235,48);(215,241);270.52186127;254.7789033165724;AR0500SR.map
132;AnyaSearch;1975;583;502;539;1030;(262,201);(292,85);384.97770538;360.11863904653325;AR0500SR.map
133;AnyaSearch;3762;242;194;230;419;(157,80);(14,223);279.92388153;267.3962227922727;AR0500SR.map
134;AnyaSearch;1785;1784;1471;1556;2972;(5,272);(251,161);516.02647857;488.3816258623485;AR0500SR.map
135;AnyaSearch;2609;41;31;37;67;(203,99);(245,109);52.76955261;49.11671641781072;AR0500SR.map
136;AnyaSearch;1984;63;67;84;149;(233,144);(159,127);91.18376617;84.08530709162375;AR0500SR.map
137;AnyaSearch;2544;159;221;238;458;(22,236);(146,178);187.19595947;177.98049440223446;AR0500SR.map
138;AnyaSearch;3238;191;234;267;500;(100,205);(221,122);191.92388153;179.95956199470555;AR0500SR.map
139;AnyaSearch;2723;163;302;343;618;(242,147);(138,126);241.79393921;224.7066502528006;AR0500SR.map
140;AnyaSearch;3713;58;32;45;75;(228,30);(193,89);73.49747467;70.76051539315287;AR0500SR.map
141;AnyaSearch;2522;77;78;96;173;(135,201);(187,99);138.46803741;130.03475948564565;AR0500SR.map
142;AnyaSearch;2188;128;172;198;366;(220,129);(72,213);216.85281372;205.4496291436113;AR0500SR.map
143;AnyaSearch;2795;161;249;288;518;(289,105);(178,148);153.88225098;144.7907846970013;AR0500SR.map
144;AnyaSearch;3143;424;574;645;1190;(291,154);(42,280);505.5411972;478.7222094078819;AR0500SR.map
145;AnyaSearch;3182;50;25;34;58;(79,252);(29,289);66.49747467;63.137137465438286;AR0500SR.map
146;AnyaSearch;3820;120;208;236;435;(219,239);(147,209);142.99494934;134.9842062032877;AR0500SR.map
147;AnyaSearch;2164;35;1;1;1;(22,315);(22,315);0.0;0.0;AR0500SR.map
148;AnyaSearch;1637;522;469;510;977;(52,296);(303,74);375.11479034;360.51812473074233;AR0500SR.map
149;AnyaSearch;1671;535;570;632;1174;(247,140);(26,227);414.33304443;390.5177484601433;AR0500SR.map
150;AnyaSearch;1492;1492;1266;1331;2567;(99,260);(305,209);435.60007171;411.5041508090989;AR0500SR.map
151;AnyaSearch;2517;150;194;227;420;(59,185);(234,73);271.19090881;257.30749626729437;AR0500SR.map
152;AnyaSearch;3341;54;4;9;12;(104,208);(80,193);30.21320343;28.30194339616981;AR0500SR.map
153;AnyaSearch;2873;184;128;147;274;(214,272);(42,224);214.50966797;201.2342021294571;AR0500SR.map
154;AnyaSearch;2229;303;218;262;472;(221,80);(42,221);265.17871551;254.11859858555354;AR0500SR.map
155;AnyaSearch;1510;516;342;388;715;(283,95);(106,220);260.35028839;245.25378281203353;AR0500SR.map
156;AnyaSearch;1946;1945;1450;1520;2931;(93,260);(255,157);420.28636322;398.56638907089206;AR0500SR.map
157;AnyaSearch;2887;90;81;92;172;(168,190);(138,187);61.28427124;56.29705854077835;AR0500SR.map
158;AnyaSearch;2695;173;150;177;326;(141,191);(214,53);212.03657989;197.88514798354632;AR0500SR.map
159;AnyaSearch;2341;292;319;358;668;(214,125);(109,288);246.24978332;231.14810726818868;AR0500SR.map
160;AnyaSearch;5631;176;192;220;411;(195,103);(189,245);177.33809509;163.97878683888752;AR0500SR.map
161;AnyaSearch;1617;1617;1163;1223;2358;(112,287);(259,146);393.24473266;371.87050441979;AR0500SR.map
162;AnyaSearch;3149;101;43;56;98;(145,171);(204,106);106.42640686;100.15518726955783;AR0500SR.map
163;AnyaSearch;1966;1966;1440;1515;2906;(7,280);(251,163);509.29855652;484.22517114730584;AR0500SR.map
164;AnyaSearch;2897;174;193;216;408;(66,179);(219,265);205.45079346;192.0384992701515;AR0500SR.map
165;AnyaSearch;3659;114;98;115;212;(41,185);(141,180);134.88225098;125.81977918045352;AR0500SR.map
166;AnyaSearch;2781;168;170;203;370;(188,95);(31,231);251.65180359;237.93441233785708;AR0500SR.map
167;AnyaSearch;2250;70;55;62;116;(303,59);(191,89);131.88225098;127.31187549706803;AR0500SR.map
168;AnyaSearch;3794;63;23;34;56;(70,188);(24,234);65.05382385;65.05382386916237;AR0500SR.map
169;AnyaSearch;2732;43;5;10;14;(60,199);(111,208);54.72792206;51.78802950489621;AR0500SR.map
170;AnyaSearch;2308;70;56;69;124;(154,107);(290,82);152.15432892;141.97668287758097;AR0500SR.map
171;AnyaSearch;3835;244;204;242;445;(80,213);(225,13);292.52186127;277.57317128222275;AR0500SR.map
172;AnyaSearch;2153;133;129;158;286;(225,91);(67,293);275.06096649;263.6667745544113;AR0500SR.map
173;AnyaSearch;2018;655;515;571;1069;(11,268);(278,31);412.25692596;390.06526505433015;AR0500SR.map
174;AnyaSearch;2050;63;48;56;103;(104,220);(25,288);114.19595947;107.74672618436483;AR0500SR.map
175;AnyaSearch;1356;1356;1284;1340;2587;(28,300);(247,140);441.74220733;420.0489568164394;AR0500SR.map
176;AnyaSearch;2420;320;366;402;767;(76,200);(282,98);291.4213562;275.14060798498167;AR0500SR.map
177;AnyaSearch;3455;482;532;575;1105;(55,277);(298,49);377.21529541;359.4717629537514;AR0500SR.map
178;AnyaSearch;2640;83;99;123;221;(207,95);(65,295);258.8183258;250.0439946821865;AR0500SR.map
179;AnyaSearch;1396;1396;1389;1457;2797;(8,218);(259,170);474.78888855;449.6722290768867;AR0500SR.map
180;AnyaSearch;1292;1292;1354;1415;2731;(17,292);(307,182);512.68333282;484.24288410528777;AR0500SR.map
181;AnyaSearch;2625;351;480;538;993;(292,162);(70,275);467.64170227;445.7575526705924;AR0500SR.map
182;AnyaSearch;2308;764;847;912;1725;(300,198);(216,207);413.71782074;390.36251028371936;AR0500SR.map
183;AnyaSearch;3671;55;42;61;102;(157,212);(97,192);73.0121933;69.65597245925116;AR0500SR.map
184;AnyaSearch;2168;34;20;25;44;(289,53);(274,25);35.04163055;33.91055250861392;AR0500SR.map
185;AnyaSearch;2163;722;651;708;1339;(11,267);(290,64);409.54624786;386.70371861911207;AR0500SR.map
186;AnyaSearch;2611;353;405;447;850;(79,266);(282,84);309.96046142;297.0047724810036;AR0500SR.map
187;AnyaSearch;2500;151;247;277;514;(221,208);(82,260);237.39191894;221.38363949971625;AR0500SR.map
188;AnyaSearch;3983;31;2;3;4;(39,297);(22,288);20.72792206;19.235384061671343;AR0500SR.map
189;AnyaSearch;2970;44;36;46;81;(42,294);(105,241);84.95331879;82.3286098510111;AR0500SR.map
190;AnyaSearch;2708;86;124;146;269;(35,317);(179,158);218.64675293;215.15744762684434;AR0500SR.map
191;AnyaSearch;2451;38;21;25;45;(298,74);(298,58);16.0;16.0;AR0500SR.map
192;AnyaSearch;3633;110;132;160;291;(127,156);(219,47);256.17871551;239.95391973302418;AR0500SR.map
193;AnyaSearch;3615;28;3;9;11;(237,36);(275,33);39.24264069;38.118237105091836;AR0500SR.map
194;AnyaSearch;3297;190;289;317;605;(121,216);(221,245);166.82337646;155.7292328169036;AR0500SR.map
195;AnyaSearch;1940;591;681;757;1405;(282,140);(97,190);452.62950897;426.3993580689279;AR0500SR.map
196;AnyaSearch;1493;1493;1484;1564;2998;(9,251);(253,160);496.87214966;469.0525291702135;AR0500SR.map
197;AnyaSearch;1838;613;639;712;1322;(255,138);(17,248);425.54624786;400.4027542762241;AR0500SR.map
198;AnyaSearch;3049;191;257;284;536;(160,122);(7,276);268.94826813;256.87578586152017;AR0500SR.map
199;AnyaSearch;4346;134;204;227;428;(217,140);(301,56);170.55129852;160.93710675948248;AR0500SR.map
