exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
100;AStar;100466;100460;62088;489752;192533;(393,451);(944,143);710.33513641;708.3351291418076;Milan_1_1024.map;
101;AStar;2388;312;402;3209;1718;(124,572);(525,518);423.36753235;423.3675310611725;Milan_1_1024.map;
102;AStar;682869;682863;378164;2992312;1147486;(892,1022);(284,12);1404.76067657;1402.1748723983765;Milan_1_1024.map;
103;AStar;3007;93;137;1089;556;(837,451);(701,454);137.24264069;137.24264061450958;Milan_1_1024.map;
104;AStar;97033;97028;60989;477442;172790;(719,153);(283,551);794.64884491;794.0630509853363;Milan_1_1024.map;
105;AStar;2280;18;34;265;140;(929,840);(962,839);33.41421356;33.41421353816986;Milan_1_1024.map;
106;AStar;136626;136623;81654;644740;244072;(397,67);(1006,947);1261.70180205;1258.530210852623;Milan_1_1024.map;
107;AStar;2126;2123;2025;15844;7723;(788,909);(87,399);912.24891662;912.248904466629;Milan_1_1024.map;
108;AStar;2327;139;274;2031;835;(430,163);(464,99);88.62741699;88.62741661071777;Milan_1_1024.map;
109;AStar;1112;1111;972;7356;3882;(500,779);(202,311);591.43564148;591.4356343746185;Milan_1_1024.map;
110;AStar;2523;2521;3236;24983;10078;(782,50);(447,158);379.7350647;379.73506212234497;Milan_1_1024.map;
111;AStar;1681362;834181;400890;3189632;1391941;(94,643);(961,699);1098.32799377;1097.156415939331;Milan_1_1024.map;
112;AStar;2350;139;242;1846;865;(425,559);(316,585);119.76955261;119.76955199241638;Milan_1_1024.map;
113;AStar;44272;44268;29193;230375;89800;(1008,65);(61,906);1321.31197509;1319.3119554519653;Milan_1_1024.map;
114;AStar;25121;25117;25683;204761;78585;(40,981);(1002,646);1100.76154327;1100.7615352869034;Milan_1_1024.map;
115;AStar;2075;32;67;529;292;(330,494);(319,560);70.55634918;70.55634891986847;Milan_1_1024.map;
116;AStar;658823;658817;380852;3015337;1167338;(772,969);(304,25);1276.67027282;1274.084471821785;Milan_1_1024.map;
117;AStar;3656;28;54;425;220;(707,232);(760,233);53.41421356;53.41421353816986;Milan_1_1024.map;
118;AStar;3447;3445;3877;30873;12039;(666,637);(252,651);419.79898987;419.79898953437805;Milan_1_1024.map;
119;AStar;13033;13030;12582;99386;40934;(665,190);(953,140);339.36248169;338.534051656723;Milan_1_1024.map;
120;AStar;733589;733583;362089;2867851;1050297;(865,976);(51,50);1420.09162902;1418.6773985624313;Milan_1_1024.map;
121;AStar;3186;12;26;201;152;(70,995);(47,1020);34.52691193;34.5269113779068;Milan_1_1024.map;
122;AStar;72317;72313;61372;484835;188091;(338,59);(63,811);1052.4082962;1049.8224983215332;Milan_1_1024.map;
123;AStar;1252;1249;1274;9925;4352;(254,535);(37,602);258.00714264;257.1787132024765;Milan_1_1024.map;
124;AStar;17766;17766;16048;127964;48840;(480,585);(785,351);404.41125488;403.5828220844269;Milan_1_1024.map;
125;AStar;17247;137;160;1273;910;(352,615);(193,481);214.50461731;214.50461411476135;Milan_1_1024.map;
126;AStar;2291;694;604;4825;3398;(227,320);(830,810);805.96464538;805.9646337032318;Milan_1_1024.map;
127;AStar;408505;408504;263688;2100150;805611;(75,370);(934,892);1136.49155731;1135.9057586193085;Milan_1_1024.map;
128;AStar;3238;3237;2674;20824;8280;(923,241);(790,165);192.74011536;192.15432798862457;Milan_1_1024.map;
129;AStar;71771;71770;56831;448509;182682;(329,9);(106,696);956.92301483;952.5798577070236;Milan_1_1024.map;
130;AStar;9582;9580;6415;49547;20942;(1009,603);(988,884);370.61731567;367.445739030838;Milan_1_1024.map;
