exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map;
125;AStar;193832;193830;241504;1447908;570722;(29,296);(48,14);4397.46926269;3801.674434185028;maze512-2-5.map;
126;AStar;204519;204517;253766;1521237;602862;(356,310);(495,104);4317.42763213;3761.1475228071213;maze512-2-5.map;
127;AStar;22173;22170;27917;167317;66303;(436,511);(218,251);1007.88939361;867.4701242446899;maze512-2-5.map;
128;AStar;156745;75224;107430;644870;256670;(7,139);(392,129);3283.29559783;2849.0499819517136;maze512-2-5.map;
129;AStar;1796;1792;2731;16430;6429;(407,260);(344,298);244.3969696;204.92387998104095;maze512-2-5.map;
130;AStar;44194;44192;53036;318444;125303;(292,436);(377,356);832.84776306;716.7716399431229;maze512-2-5.map;
131;AStar;161378;161376;210314;1261387;495398;(314,31);(26,416);3330.89357757;2891.518018245697;maze512-2-5.map;
132;AStar;182399;182396;220354;1320966;521301;(487,176);(31,110);3912.5037506;3369.8977419137955;maze512-2-5.map;
133;AStar;98079;98076;121718;730489;287527;(295,71);(323,489);2199.51890258;1907.5920503139496;maze512-2-5.map;
134;AStar;19906;19902;26081;156722;61664;(190,350);(147,328);661.83556976;572.7888848781586;maze512-2-5.map;
135;AStar;110396;110394;149270;895566;353845;(370,50);(448,311);2918.62655029;2533.7535185813904;maze512-2-5.map;
136;AStar;12843;12840;17595;105771;42117;(399,385);(195,277);658.69343414;574.3330411911011;maze512-2-5.map;
137;AStar;130107;130104;169956;1019858;400254;(95,63);(148,509);3491.72200469;3014.204309940338;maze512-2-5.map;
138;AStar;77682;77679;108880;653385;257465;(392,109);(281,488);3030.94025878;2638.209362268448;maze512-2-5.map;
139;AStar;3327;452;933;5537;2222;(395,509);(337,507);101.79898987;90.28427076339722;maze512-2-5.map;
140;AStar;41330;41328;46979;281722;109578;(340,451);(281,509);952.74725799;827.156415939331;maze512-2-5.map;
141;AStar;116662;116658;139354;836503;333229;(134,152);(506,268);2719.40115356;2343.4154250621796;maze512-2-5.map;
142;AStar;203545;203541;252852;1515770;601484;(413,470);(489,67);4341.67027282;3779.975949883461;maze512-2-5.map;
143;AStar;35627;35623;43274;259635;102551;(155,314);(163,465);1023.71782074;882.1269783973694;maze512-2-5.map;
