index;time;expanded;generated;pushed;popped;pruned_post_pop;length;gridcost
146;70.275;120;87;76;62;2;134.9842062032877;142.99495
147;3.923;1;5;3;2;0;10.00867551289684;10.485281
148;206.169;307;247;224;177;0;360.5181247307423;375.11479
149;218.703;381;268;252;205;5;390.5177484601433;414.33304
150;483.928;850;561;505;468;2;411.5041508090989;435.60007
151;90.743;139;125;119;83;0;257.3074962672944;271.19091
152;4.388;1;8;6;2;0;28.30194339616981;30.213203
153;62.696;91;79;70;48;0;201.2342021294571;214.50967
154;98.52;154;138;126;84;0;254.1185985855535;265.17872
155;106.913;176;137;128;100;3;245.2537828120335;260.35029
156;540.572;945;616;560;526;4;398.5663890708921;420.28636
157;34.03;47;52;44;30;0;56.29705854077835;61.284271
158;68.049;103;89;85;54;0;197.8851479835463;212.03658
159;124.244;173;161;144;107;1;231.1481072681887;246.24978
160;78.509;117;110;100;70;0;163.9787868388875;177.3381
161;445.421;763;504;457;426;2;371.87050441979;393.24473
162;30.018;41;43;40;25;0;100.1551872695578;106.42641
163;540.133;954;617;560;535;3;484.2251711473058;509.29856
164;80.099;138;113;103;86;0;192.0384992701515;205.45079
165;42.391;73;63;59;48;0;125.8197791804535;134.88225
166;76.467;120;116;111;70;0;237.9344123378571;251.6518
167;27.847;36;45;43;26;0;127.311875497068;131.88225
168;10.447;7;22;20;6;0;65.05382386916237;65.053824
169;5.26;1;11;9;2;0;51.78802950489621;54.727922
170;22.026;23;41;39;17;0;141.976682877581;152.15433
171;89.325;146;135;129;89;0;277.5731712822227;292.52186
172;45.393;70;67;64;36;0;263.6667745544113;275.06097
173;220.245;413;283;264;224;1;390.0652650543302;412.25693
174;17.585;27;28;26;18;0;107.7467261843648;114.19596
175;486.997;877;570;516;489;3;420.0489568164394;441.74221
176;137.314;251;203;186;142;0;275.1406079849817;291.42136
177;191.638;350;264;239;192;0;359.4717629537514;377.2153
178;33.972;51;58;56;29;0;250.0439946821865;258.81833
179;504.436;901;593;539;517;3;449.6722290768867;474.78889
180;472.584;900;585;532;505;3;484.2428841052878;512.68333
181;168.564;299;210;200;159;4;445.7575526705924;467.6417
182;327.807;572;377;345;312;8;390.3625102837194;413.71782
183;29.716;40;43;40;23;0;69.65597245925116;73.012193
184;10.042;9;14;12;5;0;33.91055250861392;35.041631
185;258.521;477;327;302;256;0;386.7037186191121;409.54625
186;165.447;267;216;198;153;0;297.0047724810036;309.96046
187;97.643;165;123;111;87;1;221.3836394997163;237.39192
188;2.414;0;1;0;0;0;19.23538406167134;20.727922
189;9.691;7;17;15;5;0;82.32860985101109;84.953319
190;32.05;43;52;50;28;0;215.1574476268443;218.64675
191;2.417;0;1;0;0;0;16;16
192;61.161;94;87;83;51;0;239.9539197330242;256.17872
193;5.128;2;8;6;3;0;38.11823710509184;39.242641
194;111.046;173;141;129;105;0;155.7292328169036;166.82338
195;296.262;473;336;311;263;5;426.3993580689279;452.62951
196;543.194;966;633;577;548;4;469.0525291702135;496.87215
197;252.854;424;294;279;229;5;400.4027542762241;425.54625
198;103.116;161;147;139;97;0;256.8757858615202;268.94827
199;60.613;85;83;77;53;1;160.9371067594825;170.5513
