exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
129;AStar;1951;601;1219;8296;4325;(464,466);(27,257);538.21529541;523.5706294775009;random512-20-0.map;
130;AStar;23776;23776;28570;194369;79781;(0,510);(504,75);744.51890258;695.3128318786621;random512-20-0.map;
131;AStar;23480;23479;31690;215540;88629;(9,499);(498,147);676.39401092;638.3178842067719;random512-20-0.map;
132;AStar;3079;49;166;1116;588;(29,465);(61,421);61.35533905;59.012192606925964;random512-20-0.map;
133;AStar;11143;11143;16872;115937;48540;(311,87);(196,425);397.59292908;386.8061298131943;random512-20-0.map;
134;AStar;2975;2975;4843;33369;14733;(207,454);(158,120);367.0243866;354.2964633703232;random512-20-0.map;
135;AStar;4362;4362;7977;55117;24263;(29,508);(143,15);555.14927826;540.2203433513641;random512-20-0.map;
136;AStar;9878;9879;13780;93207;38907;(163,57);(457,397);505.12698364;471.1513636112213;random512-20-0.map;
137;AStar;1107;1107;2024;14091;6121;(29,57);(180,21);168.49747467;166.49747383594513;random512-20-0.map;
138;AStar;16370;16370;22059;149662;62306;(7,43);(338,506);638.18080749;603.0336134433746;random512-20-0.map;
139;AStar;17416;17416;24269;165453;68667;(68,487);(397,42);619.59502105;584.790972828865;random512-20-0.map;
140;AStar;5281;5282;7052;48310;21821;(474,92);(465,402);336.15432892;322.5979790687561;random512-20-0.map;
141;AStar;1537;1538;2646;18301;8394;(80,296);(453,418);434.32085113;423.534051656723;random512-20-0.map;
142;AStar;5934;5934;7889;53565;22439;(470,403);(219,222);351.74725799;330.0731556415558;random512-20-0.map;
143;AStar;1661;1661;2380;16199;6997;(249,213);(391,86);215.1076477;199.29141104221344;random512-20-0.map;
144;AStar;3529;105;333;2410;1125;(422,232);(437,114);129.04163055;124.21320307254791;random512-20-0.map;
145;AStar;17274;17274;25086;171942;71498;(497,150);(60,434);582.16861419;556.3940042257309;random512-20-0.map;
146;AStar;17908;17909;22703;155024;64285;(31,424);(466,85);614.08030243;581.2762540578842;random512-20-0.map;
147;AStar;3442;1;4;23;20;(214,223);(216,226);4.41421356;3.8284270763397217;random512-20-0.map;
148;AStar;21924;21924;30791;208718;86133;(9,141);(490,488);669.2518753;629.4183894395828;random512-20-0.map;
149;AStar;27157;27157;28646;193431;80009;(30,64);(449,501);686.70771942;635.1585038900375;random512-20-0.map;
150;AStar;2672;21;83;587;383;(294,48);(370,13);93.42640686;90.49747383594513;random512-20-0.map;
151;AStar;26463;26463;31154;210295;87029;(52,23);(433,509);694.77878723;651.4305820465088;random512-20-0.map;
152;AStar;3319;209;450;2953;1829;(433,199);(135,356);377.33304443;363.03152549266815;random512-20-0.map;
153;AStar;9954;77;226;1516;939;(444,162);(299,75);189.82337646;181.0365778207779;random512-20-0.map;
154;AStar;1288;1288;1697;11676;5331;(333,392);(332,251);155.59797974;148.04163014888763;random512-20-0.map;
155;AStar;32348;32348;33843;228928;94635;(52,19);(509,456);716.74934997;665.5432798862457;random512-20-0.map;
156;AStar;20454;20454;21222;144364;60014;(30,496);(413,92);623.5655838;581.3889518976212;random512-20-0.map;
157;AStar;2622;833;1414;9631;4781;(473,204);(87,364);463.40411224;452.27416610717773;random512-20-0.map;
158;AStar;2976;393;793;5456;2905;(37,13);(370,169);412.26197662;397.6173119544983;random512-20-0.map;
159;AStar;3069;46;180;1218;594;(494,219);(500,256);44.3137085;41.14213538169861;random512-20-0.map;
160;AStar;14464;14464;15525;104581;43580;(445,192);(141,510);498.39906158;462.66608238220215;random512-20-0.map;
161;AStar;1292;1293;2772;19116;8451;(91,72);(287,121);223.95331879;216.88224983215332;random512-20-0.map;
162;AStar;31598;31598;34765;236840;97472;(9,504);(463,6);756.00418396;705.9696860313416;random512-20-0.map;
163;AStar;2336;749;1306;9117;3973;(236,304);(216,395);104.6984848;100.4558436870575;random512-20-0.map;
164;AStar;1593;1593;2609;17775;8281;(105,311);(450,436);405.46298675;396.7766922712326;random512-20-0.map;
165;AStar;2826;392;750;5171;2341;(179,138);(89,190);118.56854248;112.1248904466629;random512-20-0.map;
166;AStar;32542;32542;36794;250409;103142;(477,9);(73,506);720.82041778;676.0579986572266;random512-20-0.map;
167;AStar;2063;2064;3235;22362;10111;(151,126);(510,237);415.32085113;404.97770273685455;random512-20-0.map;
168;AStar;13195;13195;18427;125451;52942;(382,451);(80,10);601.82546844;567.8498479127884;random512-20-0.map;
169;AStar;9091;9092;11413;77971;34806;(460,44);(481,485);473.68124084;456.911687374115;random512-20-0.map;
170;AStar;2608;347;696;4672;2722;(508,414);(311,8);501.90158691;487.6000670194626;random512-20-0.map;
171;AStar;6584;6584;9973;68120;29615;(491,335);(9,253);532.1076477;516.7939372062683;random512-20-0.map;
172;AStar;3585;105;278;1915;1253;(167,405);(33,192);281.97770538;268.50461411476135;random512-20-0.map;
173;AStar;23574;23574;28741;194943;80327;(7,505);(402,43);680.67828216;639.0874361991882;random512-20-0.map;
174;AStar;1597;1595;2440;16843;7685;(430,406);(329,58);394.17871551;391.0071402788162;random512-20-0.map;
175;AStar;16145;16146;19845;135912;56033;(116,461);(420,75);551.16861419;518.3645666837692;random512-20-0.map;
176;AStar;27958;27958;29206;198967;82420;(500,40);(30,499);736.2762619;684.727045416832;random512-20-0.map;
177;AStar;25998;25998;29139;198096;81863;(427,36);(25,454);650.12193298;609.1168737411499;random512-20-0.map;
178;AStar;10405;10405;15306;105223;45312;(95,36);(297,384);455.10259704;433.4284940958023;random512-20-0.map;
179;AStar;5027;5027;7315;50333;21361;(490,364);(453,11);382.12489166;369.7401144504547;random512-20-0.map;
180;AStar;29513;29513;32109;218061;89992;(510,31);(17,486);749.41839752;702.5554724931717;random512-20-0.map;
181;AStar;6847;6847;10276;70194;30892;(493,257);(119,486);495.21529541;470.61225962638855;random512-20-0.map;
182;AStar;6785;6785;10803;75110;32447;(170,156);(294,490);396.04877319;385.9482651948929;random512-20-0.map;
183;AStar;2815;381;873;5960;2733;(416,207);(476,309);136.7106781;128.2670258283615;random512-20-0.map;
184;AStar;20423;20423;25625;173634;71843;(17,430);(438,3);672.2640686;626.5727174282074;random512-20-0.map;
185;AStar;6401;6401;10060;68112;28970;(148,1);(456,221);427.8305191;400.8843377828598;random512-20-0.map;
186;AStar;6000;6001;11084;76511;33209;(267,56);(180,409);406.55129852;391.8650048971176;random512-20-0.map;
187;AStar;1538;1539;2746;18712;8304;(335,335);(251,150);229.99494934;220.37972366809845;random512-20-0.map;
188;AStar;21834;21835;26954;182532;75489;(500,468);(63,51);681.19300079;633.7442903518677;random512-20-0.map;
189;AStar;2409;768;1566;10616;4796;(365,381);(277,206);223.65180359;212.0365778207779;random512-20-0.map;
190;AStar;8764;8765;14518;99601;43075;(310,48);(43,488);577.5411972;551.180801153183;random512-20-0.map;
191;AStar;4869;4869;6399;43550;18199;(146,346);(310,481);246.76450195;228.60511934757233;random512-20-0.map;
192;AStar;22181;22182;31346;213702;87917;(101,501);(469,2);697.12193298;655.5310872793198;random512-20-0.map;
193;AStar;21764;21764;27934;189476;78266;(481,510);(3,100);708.16356353;661.3006392717361;random512-20-0.map;
194;AStar;9378;9378;12225;83481;34999;(97,457);(372,136);471.81327514;443.1097334623337;random512-20-0.map;
195;AStar;2556;2556;4394;30230;13503;(252,58);(354,441);439.00714264;425.2497808933258;random512-20-0.map;
196;AStar;13940;13940;22255;151476;63193;(23,332);(436,43);571.36962433;535.6366448402405;random512-20-0.map;
197;AStar;1844;1844;2651;17739;7618;(245,286);(109,161);211.20815277;194.22034335136414;random512-20-0.map;
198;AStar;2963;2964;4200;28586;12186;(247,488);(384,324);244.76450195;226.0193328857422;random512-20-0.map;
199;AStar;3896;3896;5363;36649;16999;(233,447);(229,82);397.12489166;374.94112491607666;random512-20-0.map;
