exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
64;AnyaSearch;1164;1163;4207;4246;8452;(260,491);(181,343);614.13708496;517.6569271800197;maze512-2-5.map
65;AnyaSearch;5188;5187;17538;17587;35124;(180,91);(371,281);1478.36962433;1228.7280734540163;maze512-2-5.map
66;AnyaSearch;2776;911;3703;3720;7422;(76,139);(254,166);746.32085113;617.2064785064243;maze512-2-5.map
67;AnyaSearch;20638;20637;61349;61426;122774;(73,185);(79,478);3040.52604522;2537.2064132997953;maze512-2-5.map
68;AnyaSearch;4414;4413;13419;13501;26919;(254,464);(277,385);775.22034607;644.1633503631726;maze512-2-5.map
69;AnyaSearch;11795;11794;39395;39481;78875;(489,11);(353,479);4268.42763213;3579.902391949056;maze512-2-5.map
70;AnyaSearch;2796;2796;9534;9569;19102;(79,446);(256,427);1014.57568512;851.1109188331295;maze512-2-5.map
71;AnyaSearch;42503;20808;63566;63596;127161;(11,288);(136,98);3286.30779113;2744.455931515022;maze512-2-5.map
72;AnyaSearch;12113;12111;36874;36961;73834;(208,436);(305,97);1920.70771942;1589.648677217973;maze512-2-5.map
73;AnyaSearch;19037;19036;58589;58646;117234;(196,248);(463,228);3359.52099456;2781.3053777766318;maze512-2-5.map
74;AnyaSearch;24390;24389;75107;75190;150296;(458,142);(367,182);4654.2388153;3883.111249324804;maze512-2-5.map
75;AnyaSearch;16551;16550;47135;47199;94333;(324,427);(30,377);1802.18080749;1498.7010881104256;maze512-2-5.map
76;AnyaSearch;20999;20997;62135;62164;124298;(343,371);(88,137);2739.22958068;2276.555504506194;maze512-2-5.map
77;AnyaSearch;49521;23306;70270;70293;140562;(191,489);(259,38);3180.7098114;2647.4072341072506;maze512-2-5.map
78;AnyaSearch;10645;10643;36150;36238;72387;(484,91);(292,503);3115.42554016;2614.188058102985;maze512-2-5.map
79;AnyaSearch;14196;14194;41161;41202;82362;(293,467);(440,419);1606.41125488;1341.6329311323448;maze512-2-5.map
80;AnyaSearch;23015;23014;69048;69089;138136;(332,458);(84,53);3013.35447235;2508.7072943133057;maze512-2-5.map
81;AnyaSearch;23353;23351;71429;71457;142885;(84,245);(387,106);3638.21947936;3045.755364804127;maze512-2-5.map
82;AnyaSearch;4926;4925;15602;15688;31289;(436,384);(239,467);954.47518005;784.2006225091931;maze512-2-5.map
83;AnyaSearch;2490;2489;10201;10219;20419;(498,35);(242,109);2529.07525177;2127.6396820773048;maze512-2-5.map
84;AnyaSearch;1901;1900;7507;7523;15029;(437,59);(394,98);1258.07315979;1062.3433618806807;maze512-2-5.map
85;AnyaSearch;14703;14701;47325;47408;94732;(7,215);(393,488);3956.71695403;3296.738278905481;maze512-2-5.map
86;AnyaSearch;48060;22534;68156;68196;136351;(158,501);(392,118);3352.85194702;2800.242353086177;maze512-2-5.map
87;AnyaSearch;1336;1334;4905;4935;9839;(73,503);(187,394);903.39191894;762.0934265410291;maze512-2-5.map
88;AnyaSearch;1896;611;2422;2446;4867;(23,44);(55,69);458.82337646;380.2586539875413;maze512-2-5.map
89;AnyaSearch;16093;16091;44520;44643;89162;(431,232);(4,279);1823.73715667;1519.2678752449685;maze512-2-5.map
90;AnyaSearch;17169;17168;50161;50238;100398;(435,415);(60,376);2739.92806549;2287.223735733824;maze512-2-5.map
91;AnyaSearch;15765;15764;46030;46095;92124;(133,478);(184,262);2243.44783477;1871.6181378897302;maze512-2-5.map
92;AnyaSearch;20642;20641;63896;63936;127831;(1,441);(125,112);3354.99408264;2796.7589201116684;maze512-2-5.map
93;AnyaSearch;18329;18328;52330;52400;104729;(246,364);(191,49);1762.5655838;1463.950274702714;maze512-2-5.map
94;AnyaSearch;2162;17;19;31;49;(244,184);(234,181);17.82842712;15.94427190999916;maze512-2-5.map
95;AnyaSearch;9537;9535;30095;30223;60317;(149,220);(405,379);1865.52395324;1553.4834400691466;maze512-2-5.map
96;AnyaSearch;12817;12816;39539;39638;79176;(311,152);(398,56);1968.39401092;1647.1882907784736;maze512-2-5.map
97;AnyaSearch;62284;31165;71760;71785;143544;(7,473);(319,7);3878.24386596;3232.3228069250085;maze512-2-5.map
98;AnyaSearch;26597;26595;73770;73809;147578;(64,485);(58,109);3835.77582855;3207.5900746467664;maze512-2-5.map
99;AnyaSearch;26865;26863;83390;83422;166811;(121,439);(464,31);4363.46926269;3655.6260842127513;maze512-2-5.map
100;AnyaSearch;19436;19435;60569;60641;121209;(496,378);(448,170);3236.0945877;2675.2071287113004;maze512-2-5.map
101;AnyaSearch;3002;3001;10288;10362;20649;(470,487);(354,359);981.78888855;811.8291261680997;maze512-2-5.map
102;AnyaSearch;19824;19823;61308;61385;122692;(479,469);(323,50);2949.89862823;2466.9911825769145;maze512-2-5.map
103;AnyaSearch;17291;17290;53646;53767;107412;(331,4);(147,509);3561.70476074;2960.3273285006444;maze512-2-5.map
104;AnyaSearch;14070;14069;45102;45176;90277;(73,83);(98,364);3202.53823852;2670.2131563134526;maze512-2-5.map
105;AnyaSearch;3652;3651;13295;13320;26614;(334,20);(400,8);2282.83261108;1896.979273793186;maze512-2-5.map
106;AnyaSearch;7865;3300;12701;12792;25492;(458,155);(296,446);2197.58997039;1812.758907098197;maze512-2-5.map
107;AnyaSearch;13088;13087;41825;41923;83747;(197,4);(496,284);3655.5037506;3030.542629698198;maze512-2-5.map
108;AnyaSearch;23273;23272;72268;72300;144567;(98,455);(461,95);3595.4204895;3014.7126558439722;maze512-2-5.map
109;AnyaSearch;14120;14119;43086;43131;86216;(82,238);(4,484);2492.53109588;2093.025659405641;maze512-2-5.map
110;AnyaSearch;17411;17410;53141;53186;106326;(23,454);(498,179);3011.76868591;2497.9915403560876;maze512-2-5.map
111;AnyaSearch;13132;13130;39719;39795;79513;(109,511);(205,161);2126.16356353;1780.1260481213706;maze512-2-5.map
112;AnyaSearch;5678;5677;18342;18394;36735;(372,334);(418,219);1245.60007171;1024.8560154865638;maze512-2-5.map
113;AnyaSearch;11737;11736;41223;41310;82532;(499,54);(73,27);4612.68246612;3858.331829817751;maze512-2-5.map
114;AnyaSearch;5708;5707;18648;18715;37362;(425,313);(323,116);1579.29855652;1313.6079678360445;maze512-2-5.map
115;AnyaSearch;25668;25667;78980;79001;157980;(375,364);(37,7);3786.67532348;3144.5806280089805;maze512-2-5.map
116;AnyaSearch;5823;5823;20312;20377;40688;(366,5);(218,245);2531.40115356;2109.87437786949;maze512-2-5.map
