exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
148;AnyaSearch;1194;1193;2190;2314;4501;(52,296);(303,74);375.11479034;360.51812473074233;AR0500SR.map
149;AnyaSearch;1464;1463;2327;2521;4751;(247,140);(26,227);414.33304443;390.5177484601433;AR0500SR.map
150;AnyaSearch;3256;3255;5854;6056;11811;(99,260);(305,209);435.60007171;411.5041508090989;AR0500SR.map
151;AnyaSearch;3053;451;935;1040;1974;(59,185);(234,73);271.19090881;257.30749626729437;AR0500SR.map
152;AnyaSearch;1646;1646;18;36;53;(104,208);(80,193);30.21320343;28.30194339616981;AR0500SR.map
153;AnyaSearch;2975;2974;481;549;1029;(214,272);(42,224);214.50966797;201.2342021294571;AR0500SR.map
154;AnyaSearch;5606;450;886;1013;1880;(221,80);(42,221);265.17871551;254.11859858555354;AR0500SR.map
155;AnyaSearch;1893;653;1166;1310;2446;(283,95);(106,220);260.35028839;245.25378281203353;AR0500SR.map
156;AnyaSearch;4033;4031;6513;6732;13115;(93,260);(255,157);420.28636322;398.56638907089206;AR0500SR.map
157;AnyaSearch;2469;139;280;340;619;(168,190);(138,187);61.28427124;56.29705854077835;AR0500SR.map
158;AnyaSearch;2563;345;846;937;1782;(141,191);(214,53);212.03657989;197.88514798354632;AR0500SR.map
159;AnyaSearch;2138;670;1330;1457;2775;(214,125);(109,288);246.24978332;231.14810726818868;AR0500SR.map
160;AnyaSearch;3077;403;864;1016;1879;(195,103);(189,245);177.33809509;163.97878683888752;AR0500SR.map
161;AnyaSearch;2646;2646;5268;5484;10666;(112,287);(259,146);393.24473266;371.87050441979;AR0500SR.map
162;AnyaSearch;3641;124;230;269;498;(145,171);(204,106);106.42640686;100.15518726955783;AR0500SR.map
163;AnyaSearch;3607;3604;6589;6779;13224;(7,280);(251,163);509.29855652;484.2251711473058;AR0500SR.map
164;AnyaSearch;3333;416;791;872;1662;(66,179);(219,265);205.45079346;192.0384992701515;AR0500SR.map
165;AnyaSearch;2577;154;423;460;882;(41,185);(141,180);134.88225098;125.81977918045352;AR0500SR.map
166;AnyaSearch;1331;1331;738;872;1595;(188,95);(31,231);251.65180359;237.93441233785708;AR0500SR.map
167;AnyaSearch;2826;85;190;266;455;(303,59);(191,89);131.88225098;127.31187549706803;AR0500SR.map
